0,kiwi,kiwi
1,onion,onion
2,leek,leek
3,garlic,garlic
4,chives,chive
5,pineapple,pineapple
6,dill,dill
7,peanut,peanut
8,horseradish,horseradish
9,tarragon,tarragon
10,asparagus,asparagus
11,oat,oat
12,borage,orange
13,swede,sweet
14,rape,grape
15,cauliflower,cauliflower
16,broccoli,broccoli
17,turnip,turnip
18,tea,tea
19,capers,caper
20,pepper,pepper
21,papaya,papaya
22,safflower,safflower
23,caraway,caraway
24,chestnut,chestnut
25,chickpea,chicken
26,chicory,hickory
27,watermelon,watermelon
28,lime,lime
29,lemon,lemon
30,coffee,coffee
31,coriander,coriander
32,saffron,saffron
33,cucumber,cucumber
34,cumin,cumin
35,turmeric,turmeric
36,cardamom,cardamom
37,black crowberry,blackberry
38,loquat,loquat
39,fig,fig
40,fennel,fennel
41,strawberry,strawberry
42,sunflower,sunflower
43,barley,barley
44,lettuce,lettuce
45,lentils,lentil
46,flaxseed,flaxseed
47,lupine,pine
48,apple,apple
49,mango,mango
50,black mulberry,blackberry
51,nutmeg,nutmeg
52,olive,olive
53,pot marjoram,marjoram
54,rice,rice
55,millet,fillet
56,poppy,poppy
57,parsnip,parsnip
58,avocado,avocado
59,parsley,parsley
60,date,date
61,anise,anise
62,pistachio,pistachio
63,apricot,apricot
64,almond,almond
65,peach,peach
66,pomegranate,pomegranate
67,pear,pear
68,radish,radish
69,redcurrant,currant
70,watercress,watercress
71,rosemary,rosemary
72,red raspberry,raspberry
73,black raspberry,blackberry
74,sorrel,sorrel
75,rye,rye
76,sesame,sesame
77,eggplant,eggplant
78,potato,potato
79,rowanberry,cranberry
80,sorghum,sorghum
81,spinach,pinch
82,cloves,clove
83,tamarind,tamari
84,fenugreek,fenugreek
85,bilberry,blueberry
86,vanilla,vanilla
87,corn,corn
88,ginger,ginger
89,banana,banana
90,bayberry,barberry
91,longan,long
92,nectarine,nectar
93,shallot,shallot
94,carrot,carrot
95,grapefruit,grapefruit
96,jostaberry,strawberry
97,beer,beer
98,pasta,paste
99,biscuit,biscuit
100,sourdough,sourdough
101,spirit,sprite
102,acorn,corn
103,alfalfa,alfalfa
104,allspice,allspice
105,amaranth,amaranth
106,arrowroot,arrowroot
107,bison,bison
108,buffalo,buffalo
109,butternut,butter
110,cardoon,macaroon
111,cassava,cassava
112,chayote,chayotes
113,chia,chia
114,chicken,chicken
115,cisco,disco
116,coconut,coconut
117,elk,elk
118,fireweed,fireweed
119,grape,grade
120,haddock,haddock
121,hazelnut,hazelnut
122,horse,house
123,horseradish tree,horseradish
124,kale,ale
125,lotus,louis
126,okra,okra
127,pheasant,pheasant
128,quinoa,quinoa
129,scallop,scallion
130,scup,cup
131,sea cucumber,cucumber
132,shark,shank
133,snapper,snapped
134,spelt,spelt
135,swordfish,swordfish
136,teff,teff
137,turkey,turkey
138,wasabi,wasabi
139,whelk,wheel
140,whiting,whipping
141,jicama,jicama
142,smelt,melt
143,deer,deer
144,macadamia nut,macadamia
145,rabbit,rabbit
146,shrimp,shrimp
147,crayfish,crawfish
148,flatfish,catfish
149,domestic pig,domestic
150,quail,equal
151,shiitake,shiitake
152,epazote,epazote
153,maitake,maitake
154,wheat,wheat
155,agave,agave
156,anchovy,ancho
157,charr,chard
158,cinnamon,cinnamon
159,crab,crab
160,garfish,garnish
161,persimmon,persimmon
162,catfish,crawfish
163,walnut,walnut
164,cheese,cheese
165,eggs,egg
166,yogurt,yogurt
167,bean,beaten
168,vodka,vodka
169,whisky,whiskey
170,gin,in
171,honey,honey
172,vinegar,vinegar
173,rum,rum
174,vermouth,vermouth
175,sherry,cherry
176,nougat,nougat
177,toffee,coffee
178,cake,cake
179,pizza,pizza
180,pastry,pastry
181,marzipan,marzano
182,sauce,sauce
183,salt,salt
184,butter,butter
185,cream,cream
186,sugar,sugar
187,sausage,sausage
188,mustard,mustard
189,pate,paste
190,whey,whey
191,casein,casing
192,marshmallow,marshmallow
193,gelatin,gelatin
194,water,water
195,dumpling,dumpling
196,soup,soup
197,syrup,syrup
198,lard,lard
199,chocolate,chocolate
200,hot chocolate,chocolate
201,buttermilk,buttermilk
202,miso,miso
203,tofu,tofu
204,roe,roe
205,hamburger,burger
206,chili,chili
207,taco,taco
208,tortilla,tortilla
209,salad,salad
210,topping,topping
211,popcorn,popcorn
212,stew,stew
213,lasagna,lasagna
214,pancake,pancake
215,pectin,pectin
216,pudding,pudding
217,meatloaf,meatloaf
218,sake,soaked
219,cocktail,cocktail
220,couscous,couscous
221,bulgur,bulgur
222,spread,spread
223,enchilada,enchilada
224,egg substitute,substitute
225,ketchup,ketchup
226,adobo,adobo
227,butterfat,butter
228,vegetarian food,vegetarian
229,canola,canola
230,pie,pie
231,shortening,shortening
232,soy cream,creamy
233,molasses,molasses
234,cracker,cracker
235,natto,annatto
236,scrapple,scraped
237,evaporated milk,evaporated
238,flour,flour
239,dough,tough
240,bagel,angel
241,cornbread,corned
242,dripping,dripping
243,empanada,empanada
244,arepa,arepas
245,stuffing,stuffing
246,fudge,fudge
247,candy bar,brandy
248,margarine,margarine
249,hummus,hummus
250,milk substitute,substitute
251,cabbage,cabbage
252,mushrooms,mushroom
253,citrus,citrus
254,fishes,fish
255,nuts,nut
256,beverages,beverage
257,fruits,fruit
258,blackberry,blackberry
259,mate,master
260,red champagne,champagne
261,crosne,rose
262,red clover,covered
263,almond milk,almondmilk
264,sunflower oil,sunflower
265,grapeseed oil,grapeseed
266,clam,clam
267,plantain,plantain
268,clementine,clementine
269,cannellini bean,cannellini
270,pitaya,pita
